codadesao;cod_ata;cod_uasg;procsei;dataregistro;datasolic;encaminhaoficio;recebrespfornec;enviorespcentral;status
45;90;11367;05110.003791/2018-33;2019/07/18 15:18:29.000000000;2018/09/05 00:00:00.000;2018/09/05 00:00:00.000;2018/10/17 00:00:00.000;2018/10/18 00:00:00.000;1                                                                                                                                                                                                                                                              
46;90;11060;05110.003795/2018-11;2019/07/18 15:18:29.000000000;2018/09/18 00:00:00.000;2018/09/19 00:00:00.000;2018/09/20 00:00:00.000;2018/09/24 00:00:00.000;1                                                                                                                                                                                                                                                              
47;90;7547;05110.003797/2018-19;2019/07/18 15:18:29.000000000;2018/09/05 00:00:00.000;2018/09/06 00:00:00.000;2018/09/18 00:00:00.000;2018/10/02 00:00:00.000;1                                                                                                                                                                                                                                                              
48;90;3762;05110.003799/2018-08;2019/07/18 15:18:29.000000000;2018/09/05 00:00:00.000;2018/09/06 00:00:00.000;2018/09/17 00:00:00.000;2018/09/26 00:00:00.000;1                                                                                                                                                                                                                                                              
49;90;21286;05110.003803/2018-20;2019/07/18 15:18:29.000000000;2018/09/05 00:00:00.000;2018/09/06 00:00:00.000;2018/10/01 00:00:00.000;2018/10/08 00:00:00.000;1                                                                                                                                                                                                                                                              
50;90;9806;05110.003800/2018-96;2019/07/18 15:18:29.000000000;2018/09/05 00:00:00.000;2018/09/06 00:00:00.000;;;1                                                                                                                                                                                                                                                              
51;90;4764;05110.003851/2018-18;2019/07/18 15:18:29.000000000;2018/09/10 00:00:00.000;2018/09/11 00:00:00.000;2018/10/05 00:00:00.000;2018/10/10 00:00:00.000;0                                                                                                                                                                                                                                                              
52;90;4764;05110.003851/2018-18;2019/07/18 15:18:29.000000000;2018/09/10 00:00:00.000;2018/09/11 00:00:00.000;2018/10/05 00:00:00.000;2018/10/10 00:00:00.000;0                                                                                                                                                                                                                                                              
53;90;4764;05110.003851/2018-18;2019/07/18 15:18:29.000000000;2018/09/10 00:00:00.000;2018/09/11 00:00:00.000;2018/10/05 00:00:00.000;2018/10/10 00:00:00.000;0                                                                                                                                                                                                                                                              
54;90;4764;05110.003851/2018-18;2019/07/18 15:18:29.000000000;2018/09/10 00:00:00.000;2018/09/11 00:00:00.000;2018/10/05 00:00:00.000;2018/10/10 00:00:00.000;0                                                                                                                                                                                                                                                              
55;90;9872;05110.003823/2018-09;2019/07/18 15:18:29.000000000;2018/11/08 00:00:00.000;2018/11/12 00:00:00.000;2018/11/29 00:00:00.000;2018/12/11 00:00:00.000;1                                                                                                                                                                                                                                                              
56;90;9666;05110.003825/2018-90;2019/07/18 15:18:29.000000000;2018/09/06 00:00:00.000;2018/09/10 00:00:00.000;2018/09/14 00:00:00.000;2018/09/19 00:00:00.000;1                                                                                                                                                                                                                                                              
57;90;9712;05110.003828/2018-23;2019/07/18 15:18:29.000000000;2018/09/10 00:00:00.000;2018/09/10 00:00:00.000;2018/09/25 00:00:00.000;2018/10/08 00:00:00.000;1                                                                                                                                                                                                                                                              
58;90;3769;05110.003831/2018-47;2019/07/18 15:18:29.000000000;2018/09/10 00:00:00.000;2018/09/10 00:00:00.000;2018/10/11 00:00:00.000;2018/10/11 00:00:00.000;0                                                                                                                                                                                                                                                              
59;90;9619;05110.003835/2018-25;2019/07/18 15:18:29.000000000;2018/09/10 00:00:00.000;2018/09/10 00:00:00.000;2018/09/27 00:00:00.000;2018/09/27 00:00:00.000;1                                                                                                                                                                                                                                                              
60;90;9685;05110.003843/2018-71;2019/07/18 15:18:29.000000000;2018/09/11 00:00:00.000;2018/09/11 00:00:00.000;2018/09/14 00:00:00.000;2018/09/18 00:00:00.000;1                                                                                                                                                                                                                                                              
